edge_type_id dynamics_params model_template target_query source_query delay
188 AMPA_ExcToExc.json exp2syn node_type_id=='469793303'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
189 AMPA_ExcToExc.json exp2syn node_type_id=='473601979'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
190 AMPA_ExcToExc.json exp2syn node_type_id=='476048909'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
192 AMPA_ExcToExc.json exp2syn node_type_id=='476131588'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
194 AMPA_ExcToExc.json exp2syn node_type_id=='480116737'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
195 AMPA_ExcToExc.json exp2syn node_type_id=='480169178'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
196 AMPA_ExcToExc.json exp2syn node_type_id=='480351780'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
197 AMPA_ExcToExc.json exp2syn node_type_id=='480353286'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
198 AMPA_ExcToExc.json exp2syn node_type_id=='466632464'&pop_name=='e6Ntsr1' pop_name=='e5Rbp4' 1.8
199 AMPA_ExcToExc.json exp2syn node_type_id=='471410185'&pop_name=='e6Ntsr1' pop_name=='e5Rbp4' 1.8
200 AMPA_ExcToExc.json exp2syn node_type_id=='471786879'&pop_name=='e6Ntsr1' pop_name=='e5Rbp4' 1.8
201 AMPA_ExcToExc.json exp2syn node_type_id=='471789504'&pop_name=='e6Ntsr1' pop_name=='e5Rbp4' 1.8
202 AMPA_ExcToExc.json exp2syn node_type_id=='471819401'&pop_name=='e6Ntsr1' pop_name=='e5Rbp4' 1.8
204 AMPA_ExcToInh.json exp2syn node_type_id=='481001895'&pop_name=='i6Htr3a' pop_name=='e5Rbp4' 1.5
205 AMPA_ExcToInh.json exp2syn node_type_id=='481136138'&pop_name=='i6Htr3a' pop_name=='e5Rbp4' 1.5
207 AMPA_ExcToInh.json exp2syn node_type_id=='327962063'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
208 AMPA_ExcToInh.json exp2syn node_type_id=='464188580'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
209 AMPA_ExcToInh.json exp2syn node_type_id=='469753383'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
210 AMPA_ExcToInh.json exp2syn node_type_id=='473943881'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
211 AMPA_ExcToInh.json exp2syn node_type_id=='474267418'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
212 AMPA_ExcToInh.json exp2syn node_type_id=='475622680'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
213 AMPA_ExcToInh.json exp2syn node_type_id=='475622793'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
214 AMPA_ExcToInh.json exp2syn node_type_id=='479220013'&pop_name=='i23Htr3a' pop_name=='e5Rbp4' 1.5
215 AMPA_ExcToInh.json exp2syn node_type_id=='324493977'&pop_name=='i23Sst' pop_name=='e5Rbp4' 1.5
216 AMPA_ExcToInh.json exp2syn node_type_id=='473540161'&pop_name=='i23Sst' pop_name=='e5Rbp4' 1.5
217 AMPA_ExcToInh.json exp2syn node_type_id=='475068599'&pop_name=='i23Sst' pop_name=='e5Rbp4' 1.5
218 AMPA_ExcToInh.json exp2syn node_type_id=='476686112'&pop_name=='i23Sst' pop_name=='e5Rbp4' 1.5
219 AMPA_ExcToInh.json exp2syn node_type_id=='478110866'&pop_name=='i5Htr3a' pop_name=='e5Rbp4' 1.5
220 AMPA_ExcToInh.json exp2syn node_type_id=='481001895'&pop_name=='i5Htr3a' pop_name=='e5Rbp4' 1.5
221 AMPA_ExcToInh.json exp2syn node_type_id=='481136138'&pop_name=='i5Htr3a' pop_name=='e5Rbp4' 1.5
222 AMPA_ExcToInh.json exp2syn node_type_id=='482644550'&pop_name=='i5Htr3a' pop_name=='e5Rbp4' 1.5
223 AMPA_ExcToInh.json exp2syn node_type_id=='313862306'&pop_name=='i6Sst' pop_name=='e5Rbp4' 1.5
225 AMPA_ExcToInh.json exp2syn node_type_id=='473564515'&pop_name=='i6Sst' pop_name=='e5Rbp4' 1.5
226 AMPA_ExcToInh.json exp2syn node_type_id=='476104386'&pop_name=='i6Sst' pop_name=='e5Rbp4' 1.5
227 AMPA_ExcToInh.json exp2syn node_type_id=='476754635'&pop_name=='i6Sst' pop_name=='e5Rbp4' 1.5
228 AMPA_ExcToInh.json exp2syn node_type_id=='323475862'&pop_name=='i5Sst' pop_name=='e5Rbp4' 1.5
231 AMPA_ExcToInh.json exp2syn node_type_id=='464198958'&pop_name=='i5Sst' pop_name=='e5Rbp4' 1.5
236 AMPA_ExcToInh.json exp2syn node_type_id=='475517090'&pop_name=='i5Sst' pop_name=='e5Rbp4' 1.5
237 AMPA_ExcToInh.json exp2syn node_type_id=='478396248'&pop_name=='i5Sst' pop_name=='e5Rbp4' 1.5
238 AMPA_ExcToInh.json exp2syn node_type_id=='482690728'&pop_name=='i5Sst' pop_name=='e5Rbp4' 1.5
239 instanteneousExc.json NULL node_type_id=='100000101'&pop_name=='LIFe5Rbp4' pop_name=='e5Rbp4' 1.5
240 instanteneousExc.json NULL node_type_id=='100000102'&pop_name=='LIFe23Cux2' pop_name=='e5Rbp4' 3.0
241 instanteneousExc.json NULL node_type_id=='100000103'&pop_name=='LIFi6Pvalb' pop_name=='e5Rbp4' 1.2
242 instanteneousExc.json NULL node_type_id=='100000104'&pop_name=='LIFe4Scnn1a' pop_name=='e5Rbp4' 2.5
243 instanteneousExc.json NULL node_type_id=='100000105'&pop_name=='LIFi23Pvalb' pop_name=='e5Rbp4' 1.2
244 instanteneousExc.json NULL node_type_id=='100000110'&pop_name=='LIFe4other' pop_name=='e5Rbp4' 2.5
245 instanteneousExc.json NULL node_type_id=='100000111'&pop_name=='LIFi5Pvalb' pop_name=='e5Rbp4' 1.2
246 instanteneousExc.json NULL node_type_id=='100000112'&pop_name=='LIFi4Pvalb' pop_name=='e5Rbp4' 1.2
247 instanteneousExc.json NULL node_type_id=='100000108'&pop_name=='LIFe4Rorb' pop_name=='e5Rbp4' 2.5
248 instanteneousExc.json NULL node_type_id=='100000114'&pop_name=='LIFi4Htr3a' pop_name=='e5Rbp4' 1.5
249 instanteneousExc.json NULL node_type_id=='100000115'&pop_name=='LIFi4Sst' pop_name=='e5Rbp4' 1.5
250 instanteneousExc.json NULL node_type_id=='100000116'&pop_name=='LIFe4Nr5a1' pop_name=='e5Rbp4' 2.5
251 instanteneousExc.json NULL node_type_id=='100000119'&pop_name=='LIFe5noRbp4' pop_name=='e5Rbp4' 1.5
252 instanteneousExc.json NULL node_type_id=='100000121'&pop_name=='LIFe6Ntsr1' pop_name=='e5Rbp4' 1.8
253 instanteneousExc.json NULL node_type_id=='100000106'&pop_name=='LIFi6Htr3a' pop_name=='e5Rbp4' 1.5
254 instanteneousExc.json NULL node_type_id=='100000107'&pop_name=='LIFi23Htr3a' pop_name=='e5Rbp4' 1.5
255 instanteneousExc.json NULL node_type_id=='100000113'&pop_name=='LIFi23Sst' pop_name=='e5Rbp4' 1.5
256 instanteneousExc.json NULL node_type_id=='100000109'&pop_name=='LIFi5Htr3a' pop_name=='e5Rbp4' 1.5
257 instanteneousExc.json NULL node_type_id=='100000120'&pop_name=='LIFi6Sst' pop_name=='e5Rbp4' 1.5
258 instanteneousExc.json NULL node_type_id=='100000118'&pop_name=='LIFi5Sst' pop_name=='e5Rbp4' 1.5
259 AMPA_ExcToInh.json exp2syn node_type_id=='475585413'&pop_name=='i1Htr3a' pop_name=='e5Rbp4' 1.5
260 AMPA_ExcToInh.json exp2syn node_type_id=='478107198'&pop_name=='i1Htr3a' pop_name=='e5Rbp4' 1.5
261 instanteneousExc.json NULL node_type_id=='100000117'&pop_name=='LIFi1Htr3a' pop_name=='e5Rbp4' 1.5
262 AMPA_ExcToExc.json exp2syn node_type_id=='471129934'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
263 AMPA_ExcToExc.json exp2syn node_type_id=='471143169'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
264 AMPA_ExcToExc.json exp2syn node_type_id=='471758398'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
265 AMPA_ExcToExc.json exp2syn node_type_id=='471767045'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
266 AMPA_ExcToExc.json exp2syn node_type_id=='485574832'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
267 AMPA_ExcToExc.json exp2syn node_type_id=='485835055'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
268 AMPA_ExcToExc.json exp2syn node_type_id=='485880739'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
269 AMPA_ExcToExc.json exp2syn node_type_id=='486052980'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
270 AMPA_ExcToExc.json exp2syn node_type_id=='486110216'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
271 AMPA_ExcToExc.json exp2syn node_type_id=='487664663'&pop_name=='e5Rbp4' pop_name=='e23Cux2' 1.8
273 AMPA_ExcToExc.json exp2syn node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e23Cux2' 1.6
281 AMPA_ExcToExc.json exp2syn node_type_id=='314900022'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
284 AMPA_ExcToExc.json exp2syn node_type_id=='348592897'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
285 AMPA_ExcToExc.json exp2syn node_type_id=='395830185'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
286 AMPA_ExcToExc.json exp2syn node_type_id=='469798159'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
287 AMPA_ExcToExc.json exp2syn node_type_id=='476126528'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
288 AMPA_ExcToExc.json exp2syn node_type_id=='476218657'&pop_name=='e4Scnn1a' pop_name=='e23Cux2' 1.6
289 AMPA_ExcToInh.json exp2syn node_type_id=='341442651'&pop_name=='i23Pvalb' pop_name=='e23Cux2' 1.2
291 AMPA_ExcToInh.json exp2syn node_type_id=='484635029'&pop_name=='i23Pvalb' pop_name=='e23Cux2' 1.2
292 AMPA_ExcToInh.json exp2syn node_type_id=='488501071'&pop_name=='i23Pvalb' pop_name=='e23Cux2' 1.2
293 AMPA_ExcToExc.json exp2syn node_type_id=='477135941'&pop_name=='e4other' pop_name=='e23Cux2' 1.6
294 AMPA_ExcToExc.json exp2syn node_type_id=='483061182'&pop_name=='e4other' pop_name=='e23Cux2' 1.6
296 AMPA_ExcToExc.json exp2syn node_type_id=='485909730'&pop_name=='e4other' pop_name=='e23Cux2' 1.6
297 AMPA_ExcToExc.json exp2syn node_type_id=='486146717'&pop_name=='e4other' pop_name=='e23Cux2' 1.6
298 AMPA_ExcToExc.json exp2syn node_type_id=='487601493'&pop_name=='e4other' pop_name=='e23Cux2' 1.6
299 AMPA_ExcToInh.json exp2syn node_type_id=='313861608'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
300 AMPA_ExcToInh.json exp2syn node_type_id=='321023397'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
302 AMPA_ExcToInh.json exp2syn node_type_id=='333785962'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
303 AMPA_ExcToInh.json exp2syn node_type_id=='396608557'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
304 AMPA_ExcToInh.json exp2syn node_type_id=='469610831'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
305 AMPA_ExcToInh.json exp2syn node_type_id=='471077857'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
306 AMPA_ExcToInh.json exp2syn node_type_id=='471085676'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
307 AMPA_ExcToInh.json exp2syn node_type_id=='478793814'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
310 AMPA_ExcToInh.json exp2syn node_type_id=='486783119'&pop_name=='i5Pvalb' pop_name=='e23Cux2' 1.2
312 AMPA_ExcToInh.json exp2syn node_type_id=='333604946'&pop_name=='i4Pvalb' pop_name=='e23Cux2' 1.2
313 AMPA_ExcToInh.json exp2syn node_type_id=='487667205'&pop_name=='i4Pvalb' pop_name=='e23Cux2' 1.2
314 AMPA_ExcToExc.json exp2syn node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
315 AMPA_ExcToExc.json exp2syn node_type_id=='324025371'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
316 AMPA_ExcToExc.json exp2syn node_type_id=='329550137'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
317 AMPA_ExcToExc.json exp2syn node_type_id=='473020156'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
318 AMPA_ExcToExc.json exp2syn node_type_id=='476616076'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
319 AMPA_ExcToExc.json exp2syn node_type_id=='479179020'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
320 AMPA_ExcToExc.json exp2syn node_type_id=='480087928'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
321 AMPA_ExcToExc.json exp2syn node_type_id=='480124551'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
323 AMPA_ExcToExc.json exp2syn node_type_id=='484679812'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
324 AMPA_ExcToExc.json exp2syn node_type_id=='485836906'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
325 AMPA_ExcToExc.json exp2syn node_type_id=='486502127'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6
326 AMPA_ExcToInh.json exp2syn node_type_id=='474626527'&pop_name=='i4Htr3a' pop_name=='e23Cux2' 1.5
327 AMPA_ExcToInh.json exp2syn node_type_id=='313862167'&pop_name=='i4Sst' pop_name=='e23Cux2' 1.5
328 AMPA_ExcToInh.json exp2syn node_type_id=='473016550'&pop_name=='i4Sst' pop_name=='e23Cux2' 1.5
330 AMPA_ExcToExc.json exp2syn node_type_id=='318733871'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
331 AMPA_ExcToExc.json exp2syn node_type_id=='318808427'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
333 AMPA_ExcToExc.json exp2syn node_type_id=='370351753'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
334 AMPA_ExcToExc.json exp2syn node_type_id=='386049446'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
335 AMPA_ExcToExc.json exp2syn node_type_id=='397351623'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
336 AMPA_ExcToExc.json exp2syn node_type_id=='422738880'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
337 AMPA_ExcToExc.json exp2syn node_type_id=='475459689'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
338 AMPA_ExcToExc.json exp2syn node_type_id=='476455864'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
339 AMPA_ExcToExc.json exp2syn node_type_id=='476457450'&pop_name=='e4Nr5a1' pop_name=='e23Cux2' 1.6
340 AMPA_ExcToExc.json exp2syn node_type_id=='314804042'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
342 AMPA_ExcToExc.json exp2syn node_type_id=='314831019'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
343 AMPA_ExcToExc.json exp2syn node_type_id=='320207387'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
344 AMPA_ExcToExc.json exp2syn node_type_id=='323865917'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
345 AMPA_ExcToExc.json exp2syn node_type_id=='324025297'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
346 AMPA_ExcToExc.json exp2syn node_type_id=='349621141'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
347 AMPA_ExcToExc.json exp2syn node_type_id=='354190013'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
348 AMPA_ExcToExc.json exp2syn node_type_id=='468120757'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
349 AMPA_ExcToExc.json exp2syn node_type_id=='468193142'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
350 AMPA_ExcToExc.json exp2syn node_type_id=='469793303'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
351 AMPA_ExcToExc.json exp2syn node_type_id=='473601979'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
352 AMPA_ExcToExc.json exp2syn node_type_id=='476048909'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
354 AMPA_ExcToExc.json exp2syn node_type_id=='476131588'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
356 AMPA_ExcToExc.json exp2syn node_type_id=='480116737'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
357 AMPA_ExcToExc.json exp2syn node_type_id=='480169178'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
358 AMPA_ExcToExc.json exp2syn node_type_id=='480351780'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
359 AMPA_ExcToExc.json exp2syn node_type_id=='480353286'&pop_name=='e5noRbp4' pop_name=='e23Cux2' 1.8
369 AMPA_ExcToInh.json exp2syn node_type_id=='327962063'&pop_name=='i23Htr3a' pop_name=='e23Cux2' 1.5
