edge_type_id source_query target_query model_template delay dynamics_params
154 pop_name=='i23Htr3a' node_type_id=='477135941' static_synapse 1.5 i2e.json
155 pop_name=='e4Rorb' node_type_id=='477135941' static_synapse 1.3 e2e.json
156 pop_name=='e4other' node_type_id=='477135941' static_synapse 1.3 e2e.json
157 pop_name=='i5Pvalb' node_type_id=='477135941' static_synapse 0.9 i2e.json
158 pop_name=='i4Pvalb' node_type_id=='477135941' static_synapse 0.9 i2e.json
159 pop_name=='i23Sst' node_type_id=='477135941' static_synapse 1.5 i2e.json
160 pop_name=='i4Htr3a' node_type_id=='477135941' static_synapse 1.5 i2e.json
161 pop_name=='i4Sst' node_type_id=='477135941' static_synapse 1.5 i2e.json
162 pop_name=='e4Nr5a1' node_type_id=='477135941' static_synapse 1.3 e2e.json
163 pop_name=='i1Htr3a' node_type_id=='477135941' static_synapse 3.8 i2e.json
164 pop_name=='i5Sst' node_type_id=='477135941' static_synapse 1.5 i2e.json
165 pop_name=='e5noRbp4' node_type_id=='477135941' static_synapse 2.5 e2e.json
166 pop_name=='i6Sst' node_type_id=='477135941' static_synapse 1.5 i2e.json
167 pop_name=='e6Ntsr1' node_type_id=='477135941' static_synapse 0.0 e2e.json
168 pop_name=='e5Rbp4' node_type_id=='422738880' static_synapse 2.5 e2e.json
169 pop_name=='e23Cux2' node_type_id=='422738880' static_synapse 1.6 e2e.json
170 pop_name=='i6Pvalb' node_type_id=='422738880' static_synapse 0.9 i2e.json
171 pop_name=='e4Scnn1a' node_type_id=='422738880' static_synapse 1.3 e2e.json
172 pop_name=='i23Pvalb' node_type_id=='422738880' static_synapse 0.9 i2e.json
173 pop_name=='i6Htr3a' node_type_id=='422738880' static_synapse 1.5 i2e.json
174 pop_name=='i5Htr3a' node_type_id=='422738880' static_synapse 1.5 i2e.json
175 pop_name=='i23Htr3a' node_type_id=='422738880' static_synapse 1.5 i2e.json
176 pop_name=='e4Rorb' node_type_id=='422738880' static_synapse 1.3 e2e.json
177 pop_name=='e4other' node_type_id=='422738880' static_synapse 1.3 e2e.json
178 pop_name=='i5Pvalb' node_type_id=='422738880' static_synapse 0.9 i2e.json
179 pop_name=='i4Pvalb' node_type_id=='422738880' static_synapse 0.9 i2e.json
180 pop_name=='i23Sst' node_type_id=='422738880' static_synapse 1.5 i2e.json
181 pop_name=='i4Htr3a' node_type_id=='422738880' static_synapse 1.5 i2e.json
182 pop_name=='i4Sst' node_type_id=='422738880' static_synapse 1.5 i2e.json
183 pop_name=='e4Nr5a1' node_type_id=='422738880' static_synapse 1.3 e2e.json
184 pop_name=='i1Htr3a' node_type_id=='422738880' static_synapse 3.8 i2e.json
185 pop_name=='i5Sst' node_type_id=='422738880' static_synapse 1.5 i2e.json
186 pop_name=='e5noRbp4' node_type_id=='422738880' static_synapse 2.5 e2e.json
187 pop_name=='i6Sst' node_type_id=='422738880' static_synapse 1.5 i2e.json
188 pop_name=='e6Ntsr1' node_type_id=='422738880' static_synapse 0.0 e2e.json
189 pop_name=='e5Rbp4' node_type_id=='488419491' static_synapse 1.5 e2e.json
190 pop_name=='e23Cux2' node_type_id=='488419491' static_synapse 1.8 e2e.json
191 pop_name=='i6Pvalb' node_type_id=='488419491' static_synapse 0.9 i2e.json
192 pop_name=='e4Scnn1a' node_type_id=='488419491' static_synapse 1.5 e2e.json
193 pop_name=='i23Pvalb' node_type_id=='488419491' static_synapse 0.9 i2e.json
194 pop_name=='i6Htr3a' node_type_id=='488419491' static_synapse 1.5 i2e.json
195 pop_name=='i5Htr3a' node_type_id=='488419491' static_synapse 1.5 i2e.json
196 pop_name=='i23Htr3a' node_type_id=='488419491' static_synapse 1.5 i2e.json
197 pop_name=='e4Rorb' node_type_id=='488419491' static_synapse 1.5 e2e.json
198 pop_name=='e4other' node_type_id=='488419491' static_synapse 1.5 e2e.json
199 pop_name=='i5Pvalb' node_type_id=='488419491' static_synapse 0.9 i2e.json
200 pop_name=='i4Pvalb' node_type_id=='488419491' static_synapse 0.9 i2e.json
201 pop_name=='i23Sst' node_type_id=='488419491' static_synapse 1.5 i2e.json
202 pop_name=='i4Htr3a' node_type_id=='488419491' static_synapse 1.5 i2e.json
203 pop_name=='i4Sst' node_type_id=='488419491' static_synapse 1.5 i2e.json
204 pop_name=='e4Nr5a1' node_type_id=='488419491' static_synapse 1.5 e2e.json
205 pop_name=='i1Htr3a' node_type_id=='488419491' static_synapse 3.8 i2e.json
206 pop_name=='i5Sst' node_type_id=='488419491' static_synapse 1.5 i2e.json
207 pop_name=='e5noRbp4' node_type_id=='488419491' static_synapse 1.5 e2e.json
208 pop_name=='i6Sst' node_type_id=='488419491' static_synapse 1.5 i2e.json
209 pop_name=='e6Ntsr1' node_type_id=='488419491' static_synapse 3.5 e2e.json
210 pop_name=='e5Rbp4' node_type_id=='480169178' static_synapse 1.5 e2e.json
211 pop_name=='e23Cux2' node_type_id=='480169178' static_synapse 1.8 e2e.json
212 pop_name=='i6Pvalb' node_type_id=='480169178' static_synapse 0.9 i2e.json
213 pop_name=='e4Scnn1a' node_type_id=='480169178' static_synapse 1.5 e2e.json
214 pop_name=='i23Pvalb' node_type_id=='480169178' static_synapse 0.9 i2e.json
215 pop_name=='i6Htr3a' node_type_id=='480169178' static_synapse 1.5 i2e.json
216 pop_name=='i5Htr3a' node_type_id=='480169178' static_synapse 1.5 i2e.json
217 pop_name=='i23Htr3a' node_type_id=='480169178' static_synapse 1.5 i2e.json
218 pop_name=='e4Rorb' node_type_id=='480169178' static_synapse 1.5 e2e.json
219 pop_name=='e4other' node_type_id=='480169178' static_synapse 1.5 e2e.json
220 pop_name=='i5Pvalb' node_type_id=='480169178' static_synapse 0.9 i2e.json
221 pop_name=='i4Pvalb' node_type_id=='480169178' static_synapse 0.9 i2e.json
222 pop_name=='i23Sst' node_type_id=='480169178' static_synapse 1.5 i2e.json
223 pop_name=='i4Htr3a' node_type_id=='480169178' static_synapse 1.5 i2e.json
224 pop_name=='i4Sst' node_type_id=='480169178' static_synapse 1.5 i2e.json
225 pop_name=='e4Nr5a1' node_type_id=='480169178' static_synapse 1.5 e2e.json
226 pop_name=='i1Htr3a' node_type_id=='480169178' static_synapse 3.8 i2e.json
227 pop_name=='i5Sst' node_type_id=='480169178' static_synapse 1.5 i2e.json
228 pop_name=='e5noRbp4' node_type_id=='480169178' static_synapse 1.5 e2e.json
229 pop_name=='i6Sst' node_type_id=='480169178' static_synapse 1.5 i2e.json
230 pop_name=='e6Ntsr1' node_type_id=='480169178' static_synapse 3.5 e2e.json
231 pop_name=='e5Rbp4' node_type_id=='482809953' static_synapse 2.5 e2e.json
232 pop_name=='e23Cux2' node_type_id=='482809953' static_synapse 1.6 e2e.json
233 pop_name=='i6Pvalb' node_type_id=='482809953' static_synapse 0.9 i2e.json
234 pop_name=='e4Scnn1a' node_type_id=='482809953' static_synapse 1.3 e2e.json
235 pop_name=='i23Pvalb' node_type_id=='482809953' static_synapse 0.9 i2e.json
236 pop_name=='i6Htr3a' node_type_id=='482809953' static_synapse 1.5 i2e.json
237 pop_name=='i5Htr3a' node_type_id=='482809953' static_synapse 1.5 i2e.json
238 pop_name=='i23Htr3a' node_type_id=='482809953' static_synapse 1.5 i2e.json
239 pop_name=='e4Rorb' node_type_id=='482809953' static_synapse 1.3 e2e.json
240 pop_name=='e4other' node_type_id=='482809953' static_synapse 1.3 e2e.json
241 pop_name=='i5Pvalb' node_type_id=='482809953' static_synapse 0.9 i2e.json
242 pop_name=='i4Pvalb' node_type_id=='482809953' static_synapse 0.9 i2e.json
243 pop_name=='i23Sst' node_type_id=='482809953' static_synapse 1.5 i2e.json
244 pop_name=='i4Htr3a' node_type_id=='482809953' static_synapse 1.5 i2e.json
245 pop_name=='i4Sst' node_type_id=='482809953' static_synapse 1.5 i2e.json
246 pop_name=='e4Nr5a1' node_type_id=='482809953' static_synapse 1.3 e2e.json
247 pop_name=='i1Htr3a' node_type_id=='482809953' static_synapse 3.8 i2e.json
248 pop_name=='i5Sst' node_type_id=='482809953' static_synapse 1.5 i2e.json
249 pop_name=='e5noRbp4' node_type_id=='482809953' static_synapse 2.5 e2e.json
250 pop_name=='i6Sst' node_type_id=='482809953' static_synapse 1.5 i2e.json
251 pop_name=='e6Ntsr1' node_type_id=='482809953' static_synapse 0.0 e2e.json
252 pop_name=='e5Rbp4' node_type_id=='478110866' static_synapse 1.5 e2i.json
253 pop_name=='e23Cux2' node_type_id=='478110866' static_synapse 1.5 e2i.json
254 pop_name=='i6Pvalb' node_type_id=='478110866' static_synapse 1.2 i2i.json
255 pop_name=='e4Scnn1a' node_type_id=='478110866' static_synapse 1.5 e2i.json
256 pop_name=='i23Pvalb' node_type_id=='478110866' static_synapse 1.2 i2i.json
257 pop_name=='i6Htr3a' node_type_id=='478110866' static_synapse 1.5 i2i.json
258 pop_name=='i5Htr3a' node_type_id=='478110866' static_synapse 1.5 i2i.json
259 pop_name=='i23Htr3a' node_type_id=='478110866' static_synapse 1.5 i2i.json
260 pop_name=='e4Rorb' node_type_id=='478110866' static_synapse 1.5 e2i.json
261 pop_name=='e4other' node_type_id=='478110866' static_synapse 1.5 e2i.json
262 pop_name=='i5Pvalb' node_type_id=='478110866' static_synapse 1.2 i2i.json
263 pop_name=='i4Pvalb' node_type_id=='478110866' static_synapse 1.2 i2i.json
264 pop_name=='i23Sst' node_type_id=='478110866' static_synapse 1.5 i2i.json
265 pop_name=='i4Htr3a' node_type_id=='478110866' static_synapse 1.5 i2i.json
266 pop_name=='i4Sst' node_type_id=='478110866' static_synapse 1.5 i2i.json
267 pop_name=='e4Nr5a1' node_type_id=='478110866' static_synapse 1.5 e2i.json
268 pop_name=='i1Htr3a' node_type_id=='478110866' static_synapse 3.8 i2i.json
269 pop_name=='i5Sst' node_type_id=='478110866' static_synapse 1.5 i2i.json
270 pop_name=='e5noRbp4' node_type_id=='478110866' static_synapse 1.5 e2i.json
271 pop_name=='i6Sst' node_type_id=='478110866' static_synapse 1.5 i2i.json
272 pop_name=='e6Ntsr1' node_type_id=='478110866' static_synapse 1.5 e2i.json
273 pop_name=='e5Rbp4' node_type_id=='481017021' static_synapse 1.2 e2i.json
274 pop_name=='e23Cux2' node_type_id=='481017021' static_synapse 1.2 e2i.json
275 pop_name=='i6Pvalb' node_type_id=='481017021' static_synapse 1.6 i2i.json
276 pop_name=='e4Scnn1a' node_type_id=='481017021' static_synapse 1.2 e2i.json
277 pop_name=='i23Pvalb' node_type_id=='481017021' static_synapse 1.6 i2i.json
278 pop_name=='i6Htr3a' node_type_id=='481017021' static_synapse 1.5 i2i.json
279 pop_name=='i5Htr3a' node_type_id=='481017021' static_synapse 1.5 i2i.json
280 pop_name=='i23Htr3a' node_type_id=='481017021' static_synapse 1.5 i2i.json
281 pop_name=='e4Rorb' node_type_id=='481017021' static_synapse 1.2 e2i.json
282 pop_name=='e4other' node_type_id=='481017021' static_synapse 1.2 e2i.json
283 pop_name=='i5Pvalb' node_type_id=='481017021' static_synapse 1.6 i2i.json
284 pop_name=='i4Pvalb' node_type_id=='481017021' static_synapse 1.6 i2i.json
285 pop_name=='i23Sst' node_type_id=='481017021' static_synapse 1.5 i2i.json
286 pop_name=='i4Htr3a' node_type_id=='481017021' static_synapse 1.5 i2i.json
287 pop_name=='i4Sst' node_type_id=='481017021' static_synapse 1.5 i2i.json
288 pop_name=='e4Nr5a1' node_type_id=='481017021' static_synapse 1.2 e2i.json
289 pop_name=='i1Htr3a' node_type_id=='481017021' static_synapse 3.8 i2i.json
290 pop_name=='i5Sst' node_type_id=='481017021' static_synapse 1.5 i2i.json
291 pop_name=='e5noRbp4' node_type_id=='481017021' static_synapse 1.2 e2i.json
292 pop_name=='i6Sst' node_type_id=='481017021' static_synapse 1.5 i2i.json
293 pop_name=='e6Ntsr1' node_type_id=='481017021' static_synapse 1.2 e2i.json
294 pop_name=='e5Rbp4' node_type_id=='517645929' static_synapse 1.5 e2e.json
295 pop_name=='e23Cux2' node_type_id=='517645929' static_synapse 1.8 e2e.json
296 pop_name=='i6Pvalb' node_type_id=='517645929' static_synapse 0.9 i2e.json
297 pop_name=='e4Scnn1a' node_type_id=='517645929' static_synapse 1.5 e2e.json
298 pop_name=='i23Pvalb' node_type_id=='517645929' static_synapse 0.9 i2e.json
299 pop_name=='i6Htr3a' node_type_id=='517645929' static_synapse 1.5 i2e.json
300 pop_name=='i5Htr3a' node_type_id=='517645929' static_synapse 1.5 i2e.json
301 pop_name=='i23Htr3a' node_type_id=='517645929' static_synapse 1.5 i2e.json
302 pop_name=='e4Rorb' node_type_id=='517645929' static_synapse 1.5 e2e.json
303 pop_name=='e4other' node_type_id=='517645929' static_synapse 1.5 e2e.json
304 pop_name=='i5Pvalb' node_type_id=='517645929' static_synapse 0.9 i2e.json
305 pop_name=='i4Pvalb' node_type_id=='517645929' static_synapse 0.9 i2e.json
306 pop_name=='i23Sst' node_type_id=='517645929' static_synapse 1.5 i2e.json
307 pop_name=='i4Htr3a' node_type_id=='517645929' static_synapse 1.5 i2e.json
308 pop_name=='i4Sst' node_type_id=='517645929' static_synapse 1.5 i2e.json
309 pop_name=='e4Nr5a1' node_type_id=='517645929' static_synapse 1.5 e2e.json
310 pop_name=='i1Htr3a' node_type_id=='517645929' static_synapse 3.8 i2e.json
311 pop_name=='i5Sst' node_type_id=='517645929' static_synapse 1.5 i2e.json
312 pop_name=='e5noRbp4' node_type_id=='517645929' static_synapse 1.5 e2e.json
313 pop_name=='i6Sst' node_type_id=='517645929' static_synapse 1.5 i2e.json
314 pop_name=='e6Ntsr1' node_type_id=='517645929' static_synapse 3.5 e2e.json
315 pop_name=='e5Rbp4' node_type_id=='476056333' static_synapse 2.5 e2e.json
316 pop_name=='e23Cux2' node_type_id=='476056333' static_synapse 1.6 e2e.json
317 pop_name=='i6Pvalb' node_type_id=='476056333' static_synapse 0.9 i2e.json
318 pop_name=='e4Scnn1a' node_type_id=='476056333' static_synapse 1.3 e2e.json
319 pop_name=='i23Pvalb' node_type_id=='476056333' static_synapse 0.9 i2e.json
320 pop_name=='i6Htr3a' node_type_id=='476056333' static_synapse 1.5 i2e.json
321 pop_name=='i5Htr3a' node_type_id=='476056333' static_synapse 1.5 i2e.json
322 pop_name=='i23Htr3a' node_type_id=='476056333' static_synapse 1.5 i2e.json
323 pop_name=='e4Rorb' node_type_id=='476056333' static_synapse 1.3 e2e.json
324 pop_name=='e4other' node_type_id=='476056333' static_synapse 1.3 e2e.json
325 pop_name=='i5Pvalb' node_type_id=='476056333' static_synapse 0.9 i2e.json
326 pop_name=='i4Pvalb' node_type_id=='476056333' static_synapse 0.9 i2e.json
